6.37,6.85,7.19,7.99,4.71,6.08,7.31,6.08,6.98,5.87,6.75,6.1,7.23,6.33,5.11,5.96,5.12,5.05,6.54,5.47,4.76,4.95,4.53,6.08,6.78
6.24,7.29,7.41,7.8,6.34,6.63,7.88,6.35,6.91,6.5,6.09,6.43,6.57,6.03,5.58,5.8,5,5.83,8.61,6.14,5.56,5.09,5.11,5.91,5.68
7.05,7.71,7.35,7.5,6.17,6.98,8.18,5.93,5.95,6.2,6.18,6.37,6.02,7.23,5.86,6.74,5.56,4.91,6.55,6.44,6.17,6.15,5.41,6.28,7.49
6.91,8.23,7.89,6.66,5.7,6.46,7.6,7.29,5.82,5.41,5.99,5.6,6.19,6.56,4.62,7.08,6.03,5.79,5.95,5.96,6.13,5.92,4.62,5.41,6.55
5.93,7.73,8.58,7.86,6.05,6.77,7.91,7.33,7.33,8.05,6.36,6.43,6.13,5.98,7.67,6.14,5.33,5.58,6.15,5.76,5.89,5.45,5.24,5.6,6.56
5.59,6.45,7.04,7.98,5.89,6.15,7.36,6.28,7.61,5.58,5.46,6.1,6.03,5.49,5,5.99,5.57,6.09,5.88,5.61,5.92,5.87,5.82,5.5,6.15
5.32,5.87,7.02,6.98,4.97,6.06,8.06,6.81,7.37,7.51,6.23,6.38,6.79,5.48,5.66,7.28,6.03,6.24,5.69,6.25,5.45,4.57,4.56,4.28,5.68
5.52,5.71,7.05,7.28,5.78,6.1,7.5,5.97,6.99,7.57,6.13,4.96,5.97,6.07,5.79,6.49,6.29,5.91,5.21,5.78,5.92,5.66,5.24,5.59,7.26
6.03,6.01,7.64,6.95,5.94,6.83,7.92,5.07,7.25,8.23,5.75,6.03,6.82,6.35,5.12,8.64,6.45,6.29,6.15,6.15,6.04,5.81,5.58,4.81,6.32
5.66,6.29,7.17,6.95,7.31,6.86,7.59,6.33,7.26,7.75,6.14,6.26,6.25,5.78,5.47,6.49,6.16,6.18,5.47,6.11,7,5.72,5.65,4.1,5.96
5.61,6.3,6.6,7.86,7.18,8.23,8.23,7.11,7.52,7.73,7.2,7.08,7.28,5.71,6.44,8.63,5.78,6.14,7.39,7.46,7.2,6.54,5.98,5.84,5.65
7.07,6.17,6.87,7.17,6.53,8.75,8.74,7.17,7.28,7.73,6.9,6.12,7.13,5.05,6.39,7.26,6.11,5.9,6.68,7.84,6.95,6.47,5.8,6.38,6.29
7.1,6.33,7.03,7.93,7.06,8.53,8.02,6.7,7.2,7.67,7.82,7.34,7.72,5.7,5.86,6.27,6.87,6.23,6.2,7.33,6.64,6.79,6.35,5.69,7.11
7.16,7.22,7.73,7.31,7.08,8.15,7.69,6.62,7.05,7.87,7.39,6.33,6.69,5.71,6.36,5.84,5.87,6.14,6.34,6.96,6.27,6.64,6.11,5.78,6.07
8.85,5.2,7.52,6.67,6.54,7.1,6.86,7.58,6.89,7.16,7.03,7.3,6.55,5.38,8.58,6.42,5.42,5.52,5.2,6.6,6.29,6.37,5.18,5.82,5.68
8.37,7.05,6.99,6.93,6.72,6.46,7.79,7.32,7.24,7.84,5.96,6.7,5.84,5.84,5.7,5.8,4.95,5.33,5.25,6.64,5.4,5.93,5.7,6.21,5.99
6.89,6.82,7.14,7.73,6.06,6.63,7.34,7.53,7.41,7.51,7.17,7,6.31,6.21,5.99,6.05,7.64,5.82,5.85,6.71,6.13,7.5,5.48,6.01,6.88
6.72,7.38,7.55,6.7,8.85,6.75,7.43,7.32,7.04,6.96,7.73,7.3,7.57,6.37,6.34,5.48,4.77,5.41,5.84,6.98,6.14,6.11,5.43,6.35,6.33
6.59,7.03,8.06,8.78,7.54,8.15,7.51,7.19,7.47,7.96,8.07,8.31,6.93,6.78,5.58,5.68,4.96,6.14,6.15,6.85,6.57,6.09,6.04,6.98,6.93
6.2,7.65,8.45,8.72,7.09,7.72,7.06,7.53,7.36,6.91,6.87,8.17,6.8,6.97,5.95,5.58,5.52,5.82,6.76,6.08,6.35,6.21,4.66,6.36,6.33
